X,Y,RecId,CrimeId,AgencyId,Block,Street,City,State,Zip,CrimeCode,CrimeDescription,AggregatedDesc
-122.1126776,37.69412921,409715,18022029,ACSO,16400 E 14TH ST,16496 E 14TH ST,SAN LEANDRO,CA,94578,999,INFORMATIONAL REPORT,Officer Information
-122.1274701,37.70442646,438883,19022135,ACSO,E 14TH ST/ 156TH AV,E 14TH ST/ 156TH AV,SAN LEANDRO,CA,94578,90D,DUI ALCOHOL/DRUGS,DUI
-122.1274701,37.70442646,438883,19022135,ACSO,E 14TH ST/ 156TH AV,E 14TH ST/ 156TH AV,SAN LEANDRO,CA,94578,35A,POSSESS CONTROLLED SUBSTANCE,Patrol Information
-122.1274701,37.70442646,438883,19022135,ACSO,E 14TH ST/ 156TH AV,E 14TH ST/ 156TH AV,SAN LEANDRO,CA,94578,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Controlled Substance
-122.0833039,37.6973849,438884,19022136,ACSO,20400 ANITA AV,20451 ANITA AV,CASTRO VALLEY,CA,94546,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,Battery
-122.1140758,37.69304669,438885,19022137,ACSO,1100 KENTWOOD LA,1120 KENTWOOD LA,SAN LORENZO,CA,94580,90C,DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Domestic
-122.107937,37.68766055,438887,19022139,ACSO,800 E LEWELLING BL,827 E LEWELLING BL,HAYWARD,CA,94541,999,72 HOUR MENTAL HEALTH,5150
-122.0270139,37.7159315,438895,19022141,ACSO,6800 LARIAT LA,6883 LARIAT LA,CASTRO VALLEY,CA,94552,35A,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Controlled Substance
-122.0894506,37.6743956,438897,19022142,ACSO,W A ST/ HESPERIAN BL,W A ST/ HESPERIAN BL,HAYWARD,CA,94541,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Controlled Substance
-122.0894506,37.6743956,438897,19022142,ACSO,W A ST/ HESPERIAN BL,W A ST/ HESPERIAN BL,HAYWARD,CA,94541,35A,POSSESS CONTROLLED SUBSTANCE,Controlled Substance
-122.0894506,37.6743956,438897,19022142,ACSO,W A ST/ HESPERIAN BL,W A ST/ HESPERIAN BL,HAYWARD,CA,94541,90Z,POSSESS/ETC BURGLARY TOOLS,Burglary 
-122.0894506,37.6743956,438897,19022142,ACSO,W A ST/ HESPERIAN BL,W A ST/ HESPERIAN BL,HAYWARD,CA,94541,90Z,VIOLATION OF PROBATION MISDEMEANOR,Court Order
